model,output,target,load,n_train,n_test,MAE,MSE,RMSE,R2,fit_s
RandomForest,single,ACCEL_PEAK,all,172132,35832,69.539,18856.989,137.321,0.8432,9.22
RandomForest,single,ACCEL_PEAK,no_load,122657,26166,45.098,10613.018,103.02,0.5691,6.4
RandomForest,single,ACCEL_PEAK,load,49475,9666,133.13,40483.192,201.204,0.7969,2.43
RandomForest,single,ACCEL_RMS,all,172132,35832,26.268,3124.6,55.898,0.8497,9.58
RandomForest,single,ACCEL_RMS,no_load,122657,26166,17.077,1767.756,42.045,0.5909,6.54
RandomForest,single,ACCEL_RMS,load,49475,9666,53.669,6802.892,82.48,0.8025,2.56
RandomForest,single,ACCEL_RMS_FREQ,all,172132,35832,79.307,14941.22,122.234,0.5697,9.2
RandomForest,single,ACCEL_RMS_FREQ,no_load,122657,26166,65.829,11110.19,105.405,0.4724,6.19
RandomForest,single,ACCEL_RMS_FREQ,load,49475,9666,115.31,25316.44,159.111,0.5107,2.51
XGBoost,single,ACCEL_PEAK,all,172132,35832,69.764,18476.318,135.928,0.8463,1.15
XGBoost,single,ACCEL_PEAK,no_load,122657,26166,47.785,10316.296,101.569,0.5812,0.75
XGBoost,single,ACCEL_PEAK,load,49475,9666,133.48,39055.506,197.625,0.8041,0.59
XGBoost,single,ACCEL_RMS,all,172132,35832,26.763,3032.849,55.071,0.8541,0.86
XGBoost,single,ACCEL_RMS,no_load,122657,26166,16.464,1665.961,40.816,0.6145,0.75
XGBoost,single,ACCEL_RMS,load,49475,9666,54.648,6715.609,81.949,0.8051,0.6
XGBoost,single,ACCEL_RMS_FREQ,all,172132,35832,74.838,14453.354,120.222,0.5838,0.97
XGBoost,single,ACCEL_RMS_FREQ,no_load,122657,26166,63.401,10510.575,102.521,0.5009,0.85
XGBoost,single,ACCEL_RMS_FREQ,load,49475,9666,117.877,25930.625,161.03,0.4988,0.65
LightGBM,single,ACCEL_PEAK,all,172132,35832,66.613,17874.507,133.696,0.8513,2.87
LightGBM,single,ACCEL_PEAK,no_load,122657,26166,43.14,9947.743,99.738,0.5961,2.65
LightGBM,single,ACCEL_PEAK,load,49475,9666,131.432,37762.932,194.327,0.8106,2.48
LightGBM,single,ACCEL_RMS,all,172132,35832,26.5,3020.739,54.961,0.8547,2.75
LightGBM,single,ACCEL_RMS,no_load,122657,26166,15.734,1630.885,40.384,0.6226,2.66
LightGBM,single,ACCEL_RMS,load,49475,9666,54.166,6568.302,81.045,0.8094,2.52
LightGBM,single,ACCEL_RMS_FREQ,all,172132,35832,76.271,14530.351,120.542,0.5815,2.81
LightGBM,single,ACCEL_RMS_FREQ,no_load,122657,26166,57.375,10376.181,101.864,0.5073,2.6
LightGBM,single,ACCEL_RMS_FREQ,load,49475,9666,115.659,25125.117,158.509,0.5144,2.52
CatBoost,single,ACCEL_PEAK,all,172132,35832,74.76,20026.892,141.516,0.8334,1.64
CatBoost,single,ACCEL_PEAK,no_load,122657,26166,46.849,10465.07,102.299,0.5751,1.3
CatBoost,single,ACCEL_PEAK,load,49475,9666,142.917,41796.666,204.442,0.7903,0.9
CatBoost,single,ACCEL_RMS,all,172132,35832,29.845,3350.813,57.886,0.8388,1.56
CatBoost,single,ACCEL_RMS,no_load,122657,26166,19.565,1826.746,42.74,0.5772,1.31
CatBoost,single,ACCEL_RMS,load,49475,9666,56.018,6768.922,82.273,0.8035,0.89
CatBoost,single,ACCEL_RMS_FREQ,all,172132,35832,81.307,15782.494,125.628,0.5455,1.49
CatBoost,single,ACCEL_RMS_FREQ,no_load,122657,26166,64.497,11187.753,105.772,0.4687,1.23
CatBoost,single,ACCEL_RMS_FREQ,load,49475,9666,122.221,26602.968,163.104,0.4858,0.86
MLPRegressor,single,ACCEL_PEAK,all,172132,35832,105.928,35179.814,187.563,0.7074,38.14
MLPRegressor,single,ACCEL_PEAK,no_load,122657,26166,223.994,175790.599,419.274,-6.137,34.46
MLPRegressor,single,ACCEL_PEAK,load,49475,9666,170.506,60585.537,246.141,0.6961,17.32
MLPRegressor,single,ACCEL_RMS,all,172132,35832,42.552,4752.511,68.938,0.7713,39.2
MLPRegressor,single,ACCEL_RMS,no_load,122657,26166,30.179,2963.149,54.435,0.3143,19.0
MLPRegressor,single,ACCEL_RMS,load,49475,9666,64.422,9231.028,96.078,0.7321,14.65
MLPRegressor,single,ACCEL_RMS_FREQ,all,172132,35832,105.018,22642.959,150.476,0.3479,76.44
MLPRegressor,single,ACCEL_RMS_FREQ,no_load,122657,26166,78.523,15088.238,122.834,0.2835,56.66
MLPRegressor,single,ACCEL_RMS_FREQ,load,49475,9666,135.324,34411.956,185.505,0.3349,21.46
RandomForest,multi,ACCEL_PEAK,all,172132,35832,70.135,18491.345,135.983,0.8462,9.91
RandomForest,multi,ACCEL_RMS,all,172132,35832,27.733,3090.155,55.589,0.8513,9.91
RandomForest,multi,ACCEL_RMS_FREQ,all,172132,35832,81.8,16320.239,127.751,0.53,9.91
RandomForest,multi,ACCEL_PEAK,no_load,122657,26166,46.466,10268.828,101.335,0.5831,6.87
RandomForest,multi,ACCEL_RMS,no_load,122657,26166,19.033,1797.365,42.395,0.584,6.87
RandomForest,multi,ACCEL_RMS_FREQ,no_load,122657,26166,62.241,11211.02,105.882,0.4676,6.87
RandomForest,multi,ACCEL_PEAK,load,49475,9666,133.311,38957.976,197.378,0.8046,2.65
RandomForest,multi,ACCEL_RMS,load,49475,9666,52.956,6403.71,80.023,0.8141,2.65
RandomForest,multi,ACCEL_RMS_FREQ,load,49475,9666,123.146,27655.939,166.301,0.4655,2.65
XGBoost,multi,ACCEL_PEAK,all,172132,35832,69.764,18476.318,135.928,0.8463,2.93
XGBoost,multi,ACCEL_RMS,all,172132,35832,26.763,3032.849,55.071,0.8541,2.93
XGBoost,multi,ACCEL_RMS_FREQ,all,172132,35832,74.838,14453.354,120.222,0.5838,2.93
XGBoost,multi,ACCEL_PEAK,no_load,122657,26166,47.785,10316.296,101.569,0.5812,2.49
XGBoost,multi,ACCEL_RMS,no_load,122657,26166,16.464,1665.961,40.816,0.6145,2.49
XGBoost,multi,ACCEL_RMS_FREQ,no_load,122657,26166,63.401,10510.575,102.521,0.5009,2.49
XGBoost,multi,ACCEL_PEAK,load,49475,9666,133.48,39055.506,197.625,0.8041,2.05
XGBoost,multi,ACCEL_RMS,load,49475,9666,54.648,6715.609,81.949,0.8051,2.05
XGBoost,multi,ACCEL_RMS_FREQ,load,49475,9666,117.877,25930.625,161.03,0.4988,2.05
LightGBM,multi,ACCEL_PEAK,all,172132,35832,66.613,17874.507,133.696,0.8513,9.23
LightGBM,multi,ACCEL_RMS,all,172132,35832,26.5,3020.739,54.961,0.8547,9.23
LightGBM,multi,ACCEL_RMS_FREQ,all,172132,35832,76.271,14530.351,120.542,0.5815,9.23
LightGBM,multi,ACCEL_PEAK,no_load,122657,26166,43.14,9947.743,99.738,0.5961,8.81
LightGBM,multi,ACCEL_RMS,no_load,122657,26166,15.734,1630.885,40.384,0.6226,8.81
LightGBM,multi,ACCEL_RMS_FREQ,no_load,122657,26166,57.375,10376.181,101.864,0.5073,8.81
LightGBM,multi,ACCEL_PEAK,load,49475,9666,131.432,37762.932,194.327,0.8106,8.68
LightGBM,multi,ACCEL_RMS,load,49475,9666,54.166,6568.302,81.045,0.8094,8.68
LightGBM,multi,ACCEL_RMS_FREQ,load,49475,9666,115.659,25125.117,158.509,0.5144,8.68
CatBoost,multi,ACCEL_PEAK,all,172132,35832,74.76,20026.892,141.516,0.8334,4.68
CatBoost,multi,ACCEL_RMS,all,172132,35832,29.845,3350.813,57.886,0.8388,4.68
CatBoost,multi,ACCEL_RMS_FREQ,all,172132,35832,81.307,15782.494,125.628,0.5455,4.68
CatBoost,multi,ACCEL_PEAK,no_load,122657,26166,46.849,10465.07,102.299,0.5751,3.87
CatBoost,multi,ACCEL_RMS,no_load,122657,26166,19.565,1826.746,42.74,0.5772,3.87
CatBoost,multi,ACCEL_RMS_FREQ,no_load,122657,26166,64.497,11187.753,105.772,0.4687,3.87
CatBoost,multi,ACCEL_PEAK,load,49475,9666,142.917,41796.666,204.442,0.7903,2.72
CatBoost,multi,ACCEL_RMS,load,49475,9666,56.018,6768.922,82.273,0.8035,2.72
CatBoost,multi,ACCEL_RMS_FREQ,load,49475,9666,122.221,26602.968,163.104,0.4858,2.72
MLPRegressor,multi,ACCEL_PEAK,all,172132,35832,85.43,23828.779,154.366,0.8018,44.79
MLPRegressor,multi,ACCEL_RMS,all,172132,35832,37.31,4340.112,65.88,0.7912,44.79
MLPRegressor,multi,ACCEL_RMS_FREQ,all,172132,35832,108.35,23945.863,154.745,0.3104,44.79
MLPRegressor,multi,ACCEL_PEAK,no_load,122657,26166,72.674,17154.624,130.976,0.3035,33.19
MLPRegressor,multi,ACCEL_RMS,no_load,122657,26166,28.716,3115.537,55.817,0.279,33.19
MLPRegressor,multi,ACCEL_RMS_FREQ,no_load,122657,26166,108.136,22867.04,151.219,-0.0859,33.19
MLPRegressor,multi,ACCEL_PEAK,load,49475,9666,160.039,54746.785,233.98,0.7254,18.12
MLPRegressor,multi,ACCEL_RMS,load,49475,9666,67.773,10079.388,100.396,0.7074,18.12
