evaluation_type,feature_scenario,removed_features,model,output_strategy,target,load_condition,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,all,28,172132,35832,69.5385830509163,18856.98897551472,137.32075216628664,0.8431704162751267,16.982032775878906,0.10742783546447754,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,all,28,172132,37257,89.41471912448063,40075.05026699196,200.1875377414687,0.7832074716058451,16.982032775878906,0.07837510108947754,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,no_load,28,122657,26166,45.09805839857591,10613.01757940221,103.01950096657531,0.5691198134337833,11.295747518539429,0.05651354789733887,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,no_load,28,122657,26561,49.00898189478583,15650.772465307864,125.10304738617627,0.5272973999624763,11.295747518539429,0.06737756729125977,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,load,28,49475,9666,133.12966201226715,40483.19182290648,201.2043533895489,0.7969294904670706,4.242656946182251,0.046630144119262695,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_PEAK,load,28,49475,10696,185.46634138430275,97509.73795660165,312.26549274071516,0.689692712767606,4.242656946182251,0.04535031318664551,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,all,28,172132,35832,26.267926926285938,3124.599536845563,55.89811747139221,0.8496536700662811,16.72333860397339,0.06666111946105957,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,all,28,172132,37257,32.455997011785435,5460.001824062199,73.89182515043325,0.8130618429279428,16.72333860397339,0.07632756233215332,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,no_load,28,122657,26166,17.076771306820017,1767.7562721134188,42.04469374503064,0.5908991489882891,11.166743993759155,0.05460762977600098,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,no_load,28,122657,26561,18.986871651095623,2944.22647814287,54.26072684864136,0.5226216272279705,11.166743993759155,0.05599331855773926,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,load,28,49475,9666,53.66936418494013,6802.89163436061,82.47964375747878,0.8025439917060955,4.286877393722534,0.045133352279663086,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,load,28,49475,10696,67.53353390753199,11416.7454840595,106.84917165827491,0.7553452919758118,4.286877393722534,0.04519963264465332,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,all,28,172132,35832,79.30738357657908,14941.219737929627,122.23428217128625,0.5697004492110196,15.788377523422241,0.06530380249023438,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,all,28,172132,37257,88.42842234250294,19875.511416908692,140.98053559590662,0.5608178893820999,15.788377523422241,0.0657651424407959,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,no_load,28,122657,26166,65.82858983875823,11110.19020586835,105.40488701131628,0.4724114514690636,10.932941913604736,0.0571742057800293,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,71.57794098495579,14789.93334030116,121.61386985167917,0.4808293396932789,10.932941913604736,0.05741095542907715,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,load,28,49475,9666,115.31049461817176,25316.440242550947,159.11140827279152,0.5106719444191398,4.5678136348724365,0.05730128288269043,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS_FREQ,load,28,49475,10696,130.17430785263244,32430.666212239492,180.08516377602984,0.4861080629585881,4.5678136348724365,0.04543280601501465,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,all,28,172132,35832,69.76353916784572,18476.318315598808,135.9276216064962,0.8463363735341781,1.8374156951904297,0.014203071594238281,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,all,28,172132,37257,89.2585723196047,38433.33493691663,196.04421679028593,0.7920885987644959,1.8374156951904297,0.014569759368896484,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,no_load,28,122657,26166,47.785462188099366,10316.295746565256,101.56916730270686,0.5811664870338715,1.3529343605041504,0.009981870651245117,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,no_load,28,122657,26561,51.770335601252526,15453.753285837518,124.31312595956035,0.5332479994360377,1.3529343605041504,0.01058650016784668,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,load,28,49475,9666,133.48043403436841,39055.505523884574,197.62465818790068,0.8040910054351547,1.1815659999847412,0.00496673583984375,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,load,28,49475,10696,184.6468751794519,92916.46975873694,304.82202964801763,0.7043099666324927,1.1815659999847412,0.005112886428833008,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,all,28,172132,35832,26.762584619120837,3032.849211851906,55.071310242738065,0.8540684196911077,1.6218194961547852,0.012026548385620117,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,all,28,172132,37257,32.6339719783113,5215.9651627520525,72.22163915857942,0.8214171082178353,1.6218194961547852,0.013138532638549805,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,no_load,28,122657,26166,16.46393579576998,1665.9608817367405,40.81618406633257,0.6144570237299134,1.3163859844207764,0.007741212844848633,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,no_load,28,122657,26561,18.450982679912606,2850.1372306389912,53.38667652737892,0.5378773054858055,1.3163859844207764,0.009952068328857422,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,load,28,49475,9666,54.647817389024105,6715.609339593459,81.94882146555531,0.8050773869805996,1.089012622833252,0.0036323070526123047,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,load,28,49475,10696,66.46001848566443,10491.283719726767,102.42696773665989,0.7751774392419928,1.089012622833252,0.0038330554962158203,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,all,28,172132,35832,74.83801033756133,14453.35367461547,120.22210143985784,0.5837507444058856,1.5215368270874023,0.012424230575561523,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,all,28,172132,37257,84.42502282237479,19673.658929103614,140.26282090812097,0.5652781520524878,1.5215368270874023,0.012172222137451172,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,no_load,28,122657,26166,63.40130678489446,10510.575291476353,102.52109681171164,0.500885308036747,1.3541622161865234,0.00740504264831543,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,69.1706686091364,14204.977449329508,119.1846359617275,0.5013630317105734,1.3541622161865234,0.009828805923461914,offline temporal split
filtered_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,load,28,49475,9666,117.8769459221211,25930.625425538692,161.0298898513524,0.4988006845390547,1.0819714069366455,0.004725933074951172,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS_FREQ,load,28,49475,10696,132.64121023291708,33260.95556610949,182.37586344171066,0.47295141049968537,1.0819714069366455,0.0048482418060302734,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,all,28,172132,35832,66.6128856146948,17874.50672094351,133.6955747994058,0.8513415131136277,4.855466604232788,0.0370180606842041,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,all,28,172132,37257,86.81636798332642,39194.065233757305,197.9749106168691,0.78797330400181,4.855466604232788,0.03254389762878418,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,no_load,28,122657,26166,43.140026417596225,9947.743330077272,99.73837441064133,0.5961294259706708,4.752283334732056,0.02847576141357422,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,no_load,28,122657,26561,47.17705363328643,15106.742607139566,122.909489491819,0.543728814387818,4.752283334732056,0.027794599533081055,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,load,28,49475,9666,131.43205489264435,37762.93204428826,194.3268690744753,0.8105747717413938,4.531031847000122,0.010626792907714844,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_PEAK,load,28,49475,10696,182.15463765874276,90367.63619936885,300.6121025497291,0.712421173205178,4.531031847000122,0.017505168914794922,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,all,28,172132,35832,26.500133607687168,3020.739276288472,54.96125249926963,0.8546511133599208,5.050330400466919,0.02961421012878418,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,all,28,172132,37257,32.43336447328036,5246.015824000357,72.42938508644373,0.8203882413028467,5.050330400466919,0.03338885307312012,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,no_load,28,122657,26166,15.733796215704718,1630.8845018711654,40.38421104678368,0.6225745323931755,4.84273886680603,0.025922298431396484,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,no_load,28,122657,26561,17.70601763977543,2820.2185862022557,53.105730257687405,0.542728329652181,4.84273886680603,0.028898000717163086,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,load,28,49475,9666,54.165590019866876,6568.301639937585,81.04505931849013,0.8093530379726119,4.510517358779907,0.013794898986816406,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,load,28,49475,10696,66.15955900512427,10448.738180771235,102.21906955539771,0.7760891672318504,4.510517358779907,0.012305259704589844,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,all,28,172132,35832,76.27093812727057,14530.351304225976,120.54190683835218,0.5815332517236043,5.185354471206665,0.03370499610900879,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,all,28,172132,37257,85.68331405961759,19627.364156334388,140.0976950429035,0.5663011111899352,5.185354471206665,0.04516863822937012,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,no_load,28,122657,26166,57.37477124712495,10376.180518037085,101.8635387076116,0.5072672998960328,4.734156131744385,0.024944067001342773,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,63.108263223951944,13991.079075726622,118.28389186920856,0.5088715009718474,4.734156131744385,0.024692535400390625,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,load,28,49475,9666,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,4.534535884857178,0.011491060256958008,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,load,28,49475,10696,130.50672662440883,32309.50729979629,179.74845562562226,0.48802793064794725,4.534535884857178,0.01160740852355957,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,all,28,172132,35832,74.76047735888179,20026.892110214667,141.51640226565493,0.8334405796690992,2.5224733352661133,0.003053903579711914,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,all,28,172132,37257,94.93821645690647,41219.89078095159,203.0268228115477,0.7770142699011476,2.5224733352661133,0.0031855106353759766,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,no_load,28,122657,26166,46.849055661314075,10465.07015482487,102.29892548225945,0.57512636278951,2.033567190170288,0.0029287338256835938,offline temporal split
