evaluation_type,target,load_condition,feature_scenario,removed_features,model,output_strategy,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
filtered_test,ACCEL_PEAK,all,cnc_available_all,(none),LightGBM,single,28,172132,35832,66.6128856146948,17874.50672094351,133.6955747994058,0.8513415131136277,4.855466604232788,0.0370180606842041,offline temporal split
filtered_test,ACCEL_PEAK,load,cnc_available_all,(none),LightGBM,multi,28,49475,9666,131.43205489264435,37762.93204428826,194.3268690744753,0.8105747717413938,15.406071901321411,0.04509162902832031,offline temporal split
filtered_test,ACCEL_PEAK,no_load,cnc_available_all,(none),LightGBM,multi,28,122657,26166,43.140026417596225,9947.743330077272,99.73837441064133,0.5961294259706708,15.595097064971924,0.11748647689819336,offline temporal split
filtered_test,ACCEL_RMS,all,cnc_available_all,(none),LightGBM,single,28,172132,35832,26.500133607687168,3020.739276288472,54.96125249926963,0.8546511133599208,5.050330400466919,0.02961421012878418,offline temporal split
filtered_test,ACCEL_RMS,load,cnc_available_all,(none),RandomForest,multi,28,49475,9666,52.95596886058515,6403.7097098448085,80.02318232765307,0.8141303690342089,4.560867786407471,0.055954933166503906,offline temporal split
filtered_test,ACCEL_RMS,no_load,cnc_available_all,(none),LightGBM,single,28,122657,26166,15.733796215704718,1630.8845018711654,40.38421104678368,0.6225745323931755,4.84273886680603,0.025922298431396484,offline temporal split
filtered_test,ACCEL_RMS_FREQ,all,cnc_available_all,(none),XGBoost,multi,28,172132,35832,74.83801033756133,14453.35367461547,120.22210143985784,0.5837507444058856,4.4296417236328125,0.03432750701904297,offline temporal split
filtered_test,ACCEL_RMS_FREQ,load,cnc_available_all,(none),LightGBM,multi,28,49475,9666,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,15.406071901321411,0.04509162902832031,offline temporal split
filtered_test,ACCEL_RMS_FREQ,no_load,cnc_available_all,(none),LightGBM,single,28,122657,26166,57.37477124712495,10376.180518037085,101.8635387076116,0.5072672998960328,4.734156131744385,0.024944067001342773,offline temporal split
raw_target_test,ACCEL_PEAK,all,cnc_available_all,(none),XGBoost,single,28,172132,37257,89.2585723196047,38433.33493691663,196.04421679028593,0.7920885987644959,1.8374156951904297,0.014569759368896484,offline temporal split
raw_target_test,ACCEL_PEAK,load,cnc_available_all,(none),LightGBM,single,28,49475,10696,182.15463765874276,90367.63619936885,300.6121025497291,0.712421173205178,4.531031847000122,0.017505168914794922,offline temporal split
raw_target_test,ACCEL_PEAK,no_load,cnc_available_all,(none),LightGBM,multi,28,122657,26561,47.17705363328643,15106.742607139566,122.909489491819,0.543728814387818,15.595097064971924,0.09325957298278809,offline temporal split
raw_target_test,ACCEL_RMS,all,cnc_available_all,(none),XGBoost,single,28,172132,37257,32.6339719783113,5215.9651627520525,72.22163915857942,0.8214171082178353,1.6218194961547852,0.013138532638549805,offline temporal split
raw_target_test,ACCEL_RMS,load,cnc_available_all,(none),LightGBM,single,28,49475,10696,66.15955900512427,10448.738180771235,102.21906955539771,0.7760891672318504,4.510517358779907,0.012305259704589844,offline temporal split
raw_target_test,ACCEL_RMS,no_load,cnc_available_all,(none),LightGBM,single,28,122657,26561,17.70601763977543,2820.2185862022557,53.105730257687405,0.542728329652181,4.84273886680603,0.028898000717163086,offline temporal split
raw_target_test,ACCEL_RMS_FREQ,all,cnc_available_all,(none),LightGBM,multi,28,172132,37257,85.68331405961759,19627.364156334388,140.0976950429035,0.5663011111899352,15.226162672042847,0.12672901153564453,offline temporal split
raw_target_test,ACCEL_RMS_FREQ,load,cnc_available_all,(none),LightGBM,multi,28,49475,10696,130.50672662440883,32309.50729979629,179.74845562562226,0.48802793064794725,15.406071901321411,0.056900978088378906,offline temporal split
raw_target_test,ACCEL_RMS_FREQ,no_load,cnc_available_all,(none),LightGBM,single,28,122657,26561,63.108263223951944,13991.079075726622,118.28389186920856,0.5088715009718474,4.734156131744385,0.024692535400390625,offline temporal split
