evaluation_type,feature_scenario,removed_features,model,output_strategy,target,load_condition,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_RMS,all,28,172132,37257,32.6339719783113,5215.9651627520525,72.22163915857942,0.8214171082178353,1.6218194961547852,0.013138532638549805,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_RMS,all,28,172132,37257,32.6339719783113,5215.9651627520525,72.22163915857942,0.8214171082178353,4.4296417236328125,0.04297137260437012,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,all,28,172132,37257,32.43336447328036,5246.015824000357,72.42938508644373,0.8203882413028467,15.226162672042847,0.12672901153564453,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS,all,28,172132,37257,32.43336447328036,5246.015824000357,72.42938508644373,0.8203882413028467,5.050330400466919,0.03338885307312012,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,all,28,172132,37257,33.827489057474075,5384.8259243828015,73.38137314320849,0.8156356963065934,17.98921012878418,0.08074307441711426,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,single,ACCEL_RMS,all,28,172132,37257,32.455997011785435,5460.001824062199,73.89182515043325,0.8130618429279428,16.72333860397339,0.07632756233215332,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,all,28,172132,37257,36.1196257218305,5777.110312713867,76.00730433789812,0.8022047629542324,2.59012508392334,0.0036995410919189453,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,all,28,172132,37257,36.1196257218305,5777.110312713867,76.00730433789812,0.8022047629542324,7.397567272186279,0.010999917984008789,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,multi,ACCEL_PEAK,all,28,172132,37257,89.2585723196047,38433.33493691663,196.04421679028593,0.7920885987644959,4.4296417236328125,0.04297137260437012,offline temporal split
raw_target_test,cnc_available_all,(none),XGBoost,single,ACCEL_PEAK,all,28,172132,37257,89.2585723196047,38433.33493691663,196.04421679028593,0.7920885987644959,1.8374156951904297,0.014569759368896484,offline temporal split
