target,load,output,CatBoost,LightGBM,MLPRegressor,RandomForest,XGBoost
ACCEL_PEAK,all,multi,0.8334,0.8513,0.8018,0.8462,0.8463
ACCEL_PEAK,all,single,0.8334,0.8513,0.7074,0.8432,0.8463
ACCEL_PEAK,load,multi,0.7903,0.8106,0.7254,0.8046,0.8041
ACCEL_PEAK,load,single,0.7903,0.8106,0.6961,0.7969,0.8041
ACCEL_PEAK,no_load,multi,0.5751,0.5961,0.3035,0.5831,0.5812
ACCEL_PEAK,no_load,single,0.5751,0.5961,-6.137,0.5691,0.5812
ACCEL_RMS,all,multi,0.8388,0.8547,0.7912,0.8513,0.8541
ACCEL_RMS,all,single,0.8388,0.8547,0.7713,0.8497,0.8541
ACCEL_RMS,load,multi,0.8035,0.8094,0.7074,0.8141,0.8051
ACCEL_RMS,load,single,0.8035,0.8094,0.7321,0.8025,0.8051
ACCEL_RMS,no_load,multi,0.5772,0.6226,0.279,0.584,0.6145
ACCEL_RMS,no_load,single,0.5772,0.6226,0.3143,0.5909,0.6145
ACCEL_RMS_FREQ,all,multi,0.5455,0.5815,0.3104,0.53,0.5838
ACCEL_RMS_FREQ,all,single,0.5455,0.5815,0.3479,0.5697,0.5838
ACCEL_RMS_FREQ,load,multi,0.4858,0.5144,0.3592,0.4655,0.4988
ACCEL_RMS_FREQ,load,single,0.4858,0.5144,0.3349,0.5107,0.4988
ACCEL_RMS_FREQ,no_load,multi,0.4687,0.5073,-0.0859,0.4676,0.5009
ACCEL_RMS_FREQ,no_load,single,0.4687,0.5073,0.2835,0.4724,0.5009
