row,ACCEL_PEAK | all,ACCEL_PEAK | load,ACCEL_PEAK | no_load,ACCEL_RMS | all,ACCEL_RMS | load,ACCEL_RMS | no_load,ACCEL_RMS_FREQ | all,ACCEL_RMS_FREQ | load,ACCEL_RMS_FREQ | no_load
CatBoost (multi),0.8334405796690992,0.7903408826408073,0.57512636278951,0.8387689772731773,0.8035299820414344,0.577247571029389,0.5454721735575667,0.4858053355212524,0.4687282300729957
CatBoost (single),0.8334405796690992,0.7903408826408073,0.57512636278951,0.8387689772731773,0.8035299820414344,0.577247571029389,0.5454721735575667,0.4858053355212524,0.4687282300729957
LightGBM (multi),0.8513415131136277,0.8105747717413938,0.5961294259706708,0.8546511133599208,0.8093530379726119,0.6225745323931755,0.5815332517236043,0.5143699225202737,0.5072672998960328
LightGBM (single),0.8513415131136277,0.8105747717413938,0.5961294259706708,0.8546511133599208,0.8093530379726119,0.6225745323931755,0.5815332517236043,0.5143699225202737,0.5072672998960328
MLPRegressor (multi),0.801821088658702,0.7253809025789368,0.3035357451539503,0.7911668783311521,0.7074426780714271,0.2789906673185676,0.31037127911278517,0.3591725872373519,-0.08588495647604466
MLPRegressor (single),0.7074169370664307,0.6960927418896643,-6.136960407988207,0.7713234657666888,0.7320666020173396,0.3142567827574274,0.34789425996364864,0.3348695431512084,0.28350627019382824
RandomForest (multi),0.8462113970106411,0.8045802322102669,0.5830936513060836,0.8513110484673456,0.8141303690342089,0.5840470454938896,0.5299854068290444,0.4654530128655111,0.46762333534201284
RandomForest (single),0.8431704162751267,0.7969294904670706,0.5691198134337833,0.8496536700662811,0.8025439917060955,0.5908991489882891,0.5697004492110196,0.5106719444191398,0.4724114514690636
XGBoost (multi),0.8463363735341781,0.8040910054351547,0.5811664870338715,0.8540684196911077,0.8050773869805996,0.6144570237299134,0.5837507444058856,0.4988006845390547,0.500885308036747
XGBoost (single),0.8463363735341781,0.8040910054351547,0.5811664870338715,0.8540684196911077,0.8050773869805996,0.6144570237299134,0.5837507444058856,0.4988006845390547,0.500885308036747
