model,output_strategy,target,load_condition,R2_filtered,R2_raw_target,delta_R2,MAE_filtered,MAE_raw_target,delta_MAE
LightGBM,single,ACCEL_RMS,all,0.8546511133599208,0.8203882413028467,-0.03426287205707412,26.500133607687168,32.43336447328036,5.933230865593195
LightGBM,multi,ACCEL_RMS,all,0.8546511133599208,0.8203882413028467,-0.03426287205707412,26.50013360768717,32.43336447328036,5.933230865593192
XGBoost,multi,ACCEL_RMS,all,0.8540684196911077,0.8214171082178353,-0.03265131147327238,26.762584619120837,32.6339719783113,5.871387359190464
XGBoost,single,ACCEL_RMS,all,0.8540684196911077,0.8214171082178353,-0.03265131147327238,26.762584619120837,32.6339719783113,5.871387359190464
LightGBM,single,ACCEL_PEAK,all,0.8513415131136277,0.78797330400181,-0.06336820911181773,66.6128856146948,86.81636798332642,20.20348236863161
LightGBM,multi,ACCEL_PEAK,all,0.8513415131136277,0.78797330400181,-0.06336820911181773,66.6128856146948,86.81636798332642,20.20348236863161
RandomForest,multi,ACCEL_RMS,all,0.8513110484673456,0.8156356963065934,-0.03567535216075224,27.733485891901683,33.827489057474075,6.094003165572392
RandomForest,single,ACCEL_RMS,all,0.8496536700662811,0.8130618429279428,-0.036591827138338306,26.267926926285938,32.455997011785435,6.188070085499497
XGBoost,single,ACCEL_PEAK,all,0.8463363735341781,0.7920885987644959,-0.05424777476968223,69.76353916784572,89.2585723196047,19.495033151758975
XGBoost,multi,ACCEL_PEAK,all,0.8463363735341781,0.7920885987644959,-0.05424777476968223,69.76353916784572,89.2585723196047,19.495033151758975
RandomForest,multi,ACCEL_PEAK,all,0.8462113970106411,0.7858865145947976,-0.06032488241584344,70.13488885978305,90.19307656908892,20.05818770930587
RandomForest,single,ACCEL_PEAK,all,0.8431704162751267,0.7832074716058451,-0.05996294466928154,69.5385830509163,89.41471912448063,19.876136073564325
CatBoost,multi,ACCEL_RMS,all,0.8387689772731773,0.8022047629542324,-0.036564214318944965,29.84523145351403,36.1196257218305,6.27439426831647
