scenario,role,removed_features,model,target,load_condition,n_train,n_test,n_features,MAE,MSE,RMSE,R2,fit_s,delta_R2_vs_cnc_available_all,delta_MAE_vs_cnc_available_all
cnc_available_all,A — principal,(none),LightGBM,ACCEL_PEAK,all,172132,35832,28,66.6128856146948,17874.50672094351,133.6955747994058,0.8513415131136277,4.871875524520874,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_PEAK,no_load,122657,26166,28,43.14002641759623,9947.743330077272,99.73837441064131,0.5961294259706708,4.745462894439697,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_PEAK,load,49475,9666,28,131.43205489264437,37762.93204428826,194.3268690744753,0.8105747717413938,4.7412402629852295,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS,all,172132,35832,28,26.50013360768717,3020.739276288472,54.96125249926963,0.8546511133599208,4.949104070663452,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS,no_load,122657,26166,28,15.733796215704718,1630.8845018711654,40.38421104678368,0.6225745323931755,4.712696075439453,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS,load,49475,9666,28,54.16559001986688,6568.301639937585,81.04505931849013,0.8093530379726119,4.473215579986572,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS_FREQ,all,172132,35832,28,76.27093812727057,14530.351304225976,120.54190683835218,0.5815332517236043,5.020343542098999,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS_FREQ,no_load,122657,26166,28,57.37477124712495,10376.180518037085,101.8635387076116,0.5072672998960328,4.733765125274658,0.0,0.0
cnc_available_all,A — principal,(none),LightGBM,ACCEL_RMS_FREQ,load,49475,9666,28,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,4.7913219928741455,0.0,0.0
cnc_available_all,A — principal,(none),XGBoost,ACCEL_PEAK,all,172132,35832,28,69.76353916784572,18476.318315598808,135.9276216064962,0.8463363735341781,1.9142274856567385,0.0,0.0
cnc_available_all,A — principal,(none),XGBoost,ACCEL_PEAK,no_load,122657,26166,28,47.785462188099366,10316.295746565256,101.56916730270686,0.5811664870338715,1.3589437007904053,0.0,0.0
cnc_available_all,A — principal,(none),XGBoost,ACCEL_PEAK,load,49475,9666,28,133.4804340343684,39055.505523884574,197.62465818790068,0.8040910054351547,1.149698257446289,0.0,0.0
cnc_available_all,A — principal,(none),XGBoost,ACCEL_RMS,all,172132,35832,28,26.76258461912084,3032.849211851906,55.07131024273807,0.8540684196911077,1.649702548980713,0.0,0.0
cnc_available_all,A — principal,(none),XGBoost,ACCEL_RMS,no_load,122657,26166,28,16.46393579576998,1665.9608817367405,40.81618406633257,0.6144570237299134,1.3627901077270508,0.0,0.0
